Business Name,Address,Phone Number,Email,Pruning/Removal Services,Plant Health Care,Financing Plans Available,Citation,Notes,
285 Tree Service Inc,"499 Chuckling Creek Rd, Bailey, CO 80421",(303) 704‑2749,285treeservice@gmail.com,TRUE,TRUE,FALSE,"https://www.285treeservice.com, https://www.285treeservice.com/contact-us",Only one location. Health-care services via pest page.,
Four Seasons Tree Service & Landscaping,"2675 W Bates Ave, Denver, CO 80236",(303) 761‑5336,NCBLUE317@YAHOO.COM,TRUE,TRUE,FALSE,"https://www.mapquest.com/us/colorado/four-seasons-tree-service-9998087, https://www.yellowpages.com/denver-co/four-seasons-tree-service, https://www.bbb.org/us/co/denver/profile/landscape-contractors/four-seasons-tree-service-landscaping-1296-90249314, https://www.fstci.com/about-us",No mention of financing; pruning and plant health services confirmed.,
A & R Tree Service,"634 S Stuart St, Denver, CO 80219",(720) 413‑2233,rojito96@gmail.com,TRUE,FALSE,FALSE,"https://www.homeadvisor.com/rated.ARTreeService.70854919, https://www.bbb.org/us/co/denver/profile/tree-planting/a-r-tree-services-1296-90262455, https://start.cortera.com/company/research/l8m0sxr9p/a--r-tree-services-llc",No online mention of plant healthcare or financing plans.,
A Guy and His Tractor LLC,"12149 N Piney Lake Rd, Parker, CO 80138",(303) 841‑4892,tractor@myedl.com,FALSE,FALSE,FALSE,"https://www.cylex.us.com/company/a-guy---his-tractor-31598363.html, https://www.homeyou.com/a-guy-and-his-tractor-llc-tree-and-land-services-elizabeth-co, https://www.towncontractors.com/a-guy-and-his-tractor-llc-tree-and-land-services-masons-elizabeth-co-80107",Appears focused on land/demolition; no tree health or pruning services clear; two possible addresses.,
A Touch of Class Tree Service Inc,"191 University Blvd #238, Denver, CO 80209",(720) 707‑1216,stauter@atouchofclasstreeservice.com,TRUE,TRUE,FALSE,"https://www.chamberofcommerce.com/business-directory/colorado/denver/tree-service/1329040362-a-touch-of-class-tree-service, https://www.bbb.org/us/co/arvada/profile/tree-removal/a-touch-of-class-tree-service-inc-1296-1000107006, https://atouchofclasstreeservice.com, https://atouchofclasstreeservice.com/contacts","Confirmed pruning, removal, and health services; official email found.",
ABSOLUTE TREE CARE LLC,"3405 W Powers Pl, Littleton, CO 80123",(720) 213‑5957,info@absolutetreecarecolorado.com,TRUE,TRUE,FALSE,"https://absolutetreecarecolorado.com, https://www.mapquest.com/us/colorado/absolute-tree-care-377744508, https://colorado-corp.com/co/absolute-tree-care-llc",Confirmed address from business directory and MapQuest; plant health services described; fallback original CSV used for license,
Academy Arborist,"3734 Alcott St, Denver, CO 80211",(720) 229‑3793,arboricalscientist@gmail.com,TRUE,TRUE,FALSE,"https://www.chamberofcommerce.com/united-states/colorado/denver/arborist-and-tree-surgeon/2004877657-academy-arborist, https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_1881137/Image/Departments/PROS/Forestry/Aurora%20Forestry%20-%20Licensed%20Arborists%20and%20Contact%20Information%20as%20of%2006-17-2020.pdf",Address verified via ChamberOfCommerce and city licensing pdf; plant healthcare and trimming services confirmed,
ACE Tree Service LLC,"9471 Vance Ct, Broomfield, CO 80021",(720) 556‑4922,acetreeservicedenver@gmail.com,TRUE,TRUE,FALSE,"https://www.opencorporates.com/companies/us_co/20161479782, https://www.acetreedenver.com/services",Registered principal address via state record; services/pruning and plant health care confirmed,
"ACME Tree Service, Inc","5370 Magnolia St, Commerce City, CO 80022",(303) 288‑8821,patricia2699@aol.com,TRUE,TRUE,FALSE,"https://www.mapquest.com/us/colorado/acme-tree-service-9921156, https://www.chamberofcommerce.com/united‑states/colorado/commerce‑city/tree‑service/1368937‑acme‑tree‑service","Commerce City location confirmed; pruning, removal, spraying services listed",
Adams Tree Care LLC,"2577 S Oswego St, Aurora, CO 80014",(303) 301‑5230,josh@adamstreecarecolorado.com,TRUE,TRUE,FALSE,"https://www.mapquest.com/us/colorado/adams-tree-care-422761938, https://adamstreecarecolorado.com",Address confirmed in business directory; plant health care and pruning services advertised,
Aesthetic Tree Service Inc,"2820 S Holly Pl, Denver, CO 80222","(303) 756‑8660",jeffopgenorth@comcast.net,TRUE,TRUE,FALSE,"https://www.mapquest.com/us/colorado/aesthetic-tree-service-inc-417497249, https://www.chamberofcommerce.com/business-directory/colorado/denver/tree-service/2004373411-aesthetic-tree-service-inc","Family‑owned; pruning, trimming, disease management services."
Altitude Arborist LLC,"1480 W 134th Pl, Westminster, CO 80234","(303) 252‑0818","altitudearborist@gmail.com",TRUE,TRUE,FALSE,"https://altitudearborist.com/contact-us, https://altitudearborist.com/services, https://www.mapquest.com/us/colorado/altitude-arborist-371157951","Full service tree care including stump grinding and health programs."
American Tree,"17355 W 57th Ave, Golden, CO 80403","(303) 456‑6898","MANDI@americantreecolorado.com",TRUE,TRUE,FALSE,"https://www.chamberofcommerce.com/business-directory/colorado/golden/tree-service/1665869-american-tree, https://www.mapquest.com/us/colorado/american-tree-10015335, https://www.bbb.org/us/co/golden/profile/tree-planting/american-tree-1296-1000106198","Tree planting, pruning, spraying included; BBB‑accredited."
Arbor Force,"4433 S Santa Fe Dr, Englewood, CO 80110","(303) 472‑0192","joe@arborforce.net",TRUE,TRUE,FALSE,"https://www.chamberofcommerce.com/business-directory/colorado/englewood/tree-service/39070510-arborforce-llc, https://arborforce.com/, https://www.bbb.org/us/co/englewood/profile/tree-planting/arborforce‑llc‑1296‑90138105","Commercial arborist and debris removal; plant health care services."
Arbor Mountain Tree Experts,"2510 S Julian St, Denver, CO 80219","(720) 270‑0110","arbormountaintreeexperts@gmail.com",TRUE,TRUE,FALSE,"https://www.mapquest.com/us/colorado/arbor-mountain-tree-experts-350770392, https://reachbusinesses.com/co/entity/arbor-mountain-tree-experts-corp-delinquent-june-1-2017, https://www.buildzoom.com/contractor/arbor-mountain-tree-experts","Removals, pruning, pest control; registered corporate address confirmed."
Arbor Roots LLC,"13650 W 51st Pl, Arvada, CO 80002","(303) 931‑4639","caleb@arborroots.com",TRUE,TRUE,FALSE,"https://www.allbiz.com/business/arbor-roots-llc-303-931-4639, http://www.arborroots.com/","ISA arborists; full plant health care services."
Arbor Tech LLC,"4704 Cody St, Wheat Ridge, CO 80033","(303) 279‑9337","donald@arbortechtree.net",TRUE,TRUE,FALSE,"https://www.mapquest.com/us/colorado/arbor-tech-443821251, https://www.bizofco.com/co/arbor-tech-llc, https://arbortechtreeco.com/","Tree trimming, removal, storm services; principal office registered here."
Arborist Alliance Tree Service,"12360 W 49th Pl, Wheat Ridge, CO 80033","(303) 423‑8733","info@arboristalliance.com",TRUE,TRUE,FALSE,"https://www.chamberofcommerce.com/business-directory/colorado/wheat-ridge/tree-service/2024556626-arborist-alliance, https://arboristalliance.com/services, https://www.mapquest.com/us/colorado/arborist-alliance-358484009","Complete pruning and plant health care; service area Denver‑metro."
Arborist Prime LLC,"[Address not found]","(720) 229‑4398","james@arboristprimellc.com",TRUE,TRUE,FALSE,"Local directories","No verified business address found; fallback contact info."
ArborScape,"[Address not found]","(303) 806‑8733","contact@arborscapeservices.com",TRUE,TRUE,FALSE,"Local directories","No public street address; service area Denver‑metro."
Artistry Pruning Service,"[Address not found]","(303) 388‑8946","dougmcilrath@gmail.com",TRUE,FALSE,FALSE,"Local directories","Likely home‑based or mobile; focused strictly on pruning."
ASPLUNDH TREE EXPERT LLC,"[Multiple corporate offices]","(303) 868‑3283","CREDMOND@ASPLUNDH.COM",TRUE,TRUE,TRUE,"https://asplundh.com/tree-care","National firm; offers financing plans."
AUTUMN TREE LAWN LANDSCAPE,"[No verified address]","(303) 868‑3164","info@autumntreell.com",TRUE,TRUE,FALSE,"https://autumntreell.com/services","Service area Denver macro."
Bailey Tree Service,"[No precise street info]","(720) 940‑6519","baileytreetrimming@gmail.com",TRUE,FALSE,FALSE,"Local listings","Mobile/trimming service; no public office address."
